licznosc instancji; pomiar 1; pomiar 2; pomiar 3; pomiar 4; pomiar 5; pomiar 6; pomiar 7; pomiar 8; pomiar 9; pomiar 10
10;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0
50;0;0;0;0;0;0;0;0;0;0
100;0;0;0;0;0;0;0;0;0;0
500;0;0;0;0;0;0;0;0;0;0
1000;1;1;1;1;1;1;1;1;1;1
2000;3;2;3;2;34;2;3;3;2;3
5000;4;4;4;4;4;4;4;4;4;4
10000;9;9;36;9;9;9;9;9;11;9
50000;45;45;45;45;49;45;58;45;45;45
100000;90;90;90;89;90;90;90;89;101;89
200000;190;265;185;189;179;179;179;254;179;179
400000;359;366;358;370;362;358;298;246;246;252
