licznosc instancji	 pomiar 1	 pomiar 2	 pomiar 3	 pomiar 4	 pomiar 5	 pomiar 6	 pomiar 7	 pomiar 8	 pomiar 9	 pomiar 10
10	11	2	7	3	2	2	7	4	2	2
20	12	4	9	3	7	3	7	4	8	3
50	24	15	19	13	19	18	12	20	12	15
100	44	34	55	34	72	39	29	47	27	31
500	268	299	237	242	305	206	243	330	223	218
1000	558	601	612	531	583	635	540	583	556	482
2000	1222	1226	1195	1174	1183	1242	1356	1364	1174	1208
5000	3033	2282	2329	2274	2326	2232	2349	2461	2268	2258
10000	5132	5038	5087	4996	5017	5103	4961	4988	4941	5139
50000	33957	33237	33386	34067	34764	33389	36591	34248	33558	33175
100000	80840	80467	77741	109767	74794	79751	83510	90249	107583	101496
200000	241558	270756	298167	213921	324340	283950	220227	261851	234824	253029
400000	602808	631342	652076	599210	557485	598172	549437	441353	422350	425383
