Liczebnosc instancji	 1 pomiar	 2 pomiar	 3 pomiar	 4 pomiar	 5 pomiar	 6 pomiar	 7 pomiar	 8 pomiar	 9 pomiar	 10 pomiar
10	6	1	0	0	0	0	0	0	1	0
20	5	7	5	4	4	4	4	4	4	4
50	22	15	13	11	11	11	29	17	14	11
100	56	51	73	74	50	49	44	49	42	41
200	195	173	186	246	164	162	160	156	155	161
300	374	364	359	367	367	333	326	342	337	486
400	737	644	617	638	597	595	584	613	601	578
500	972	980	931	942	919	880	914	902	871	1007
600	1465	1425	1316	1440	1320	1271	1361	1434	1265	1329
700	1773	1691	1692	1862	1871	1689	1691	1734	1739	1709
800	2277	2275	2346	2322	2309	2265	2177	2189	2234	2261
900	2961	2957	2879	2936	2874	2843	2928	2961	2842	2907
1000	3802	3738	3565	3641	3551	3691	3549	3382	3347	3644
