liczba instancji,1 pomiar,2 pomiar,3 pomiar,4 pomiar,5 pomiar,6 pomiar,7 pomiar,8 pomiar,9 pomiar,10 pomiar
10,0,0,0,0,0,0,0,0,0,0
50,7,6,5,4,4,4,5,5,5,5
100,23,21,20,19,22,18,19,19,20,19
500,455,474,462,444,456,456,450,469,444,447
1000,1735,1723,1720,1693,1808,1753,1689,1699,1679,1654
2000,6707,6513,6631,6339,6350,6311,6652,6325,6362,6699
5000,39690,39134,39020,39832,39109,39555,39300,39363,39121,39100
10000,161576,168766,165236,169426,166866,162750,162370,165279,167992,168560
20000,822065,828333,814134,808329,793682,799699,806566,864547,826223,832811
50000,5887514,5874506,5906674,5846970,5925802,5941029,5928197,5852751,5817663,5835534
100000,24017104,24166634,24380886,24343234,24464516,24330967,24542376,24361426,24320739,24310896
200000,99045582,99350897,98147327,98389460,98388594,98208995,98836640,99597078,99391428,99731303
300000,225201386,224614147,225471441,223168364,223187072,225324052,226240019,223876910,221130076,223315224
500000,619123232,618143147,617355913,617765696,617274391,618599419,618193588,617968214,618464777,618632973
700000,1226582614,1231239272,1228860590,1223564851,1223960499,1221428592,1218823660,1232029585,1270426534,1256834801
900000,2037412832,2026020015,2014627198,2003234381,1991841564,1980448747,1969055930,1957663113,1946270296,1934877479
1000000,2503953509,2503758112,2503562715,2503367318,2503171921,2502976524,2502781127,2502585730,2502390333,2502194936
