liczba instancji,1 pomiar,2 pomiar,3 pomiar,4 pomiar,5 pomiar,6 pomiar,7 pomiar,8 pomiar,9 pomiar,10 pomiar
10,1475,1098,1215,1321,1045,1027,1038,1280,1085,1099
50,1908,1382,1369,1621,1319,1270,1308,1402,1372,1374
100,1489,1465,1401,1371,1361,1406,1377,1422,1465,1447
500,1680,1444,1489,1504,1551,1448,1559,1416,1572,2237
1000,1469,1423,1430,1548,1895,1488,1901,1686,1943,1757
2000,2051,1712,1964,1721,1986,1792,1999,1835,1664,1972
5000,1753,1772,1909,2274,1550,1888,2619,1588,1658,1541
10000,1812,1823,2121,1620,1648,2144,1633,1623,1629,1620
20000,1844,1830,1820,1927,1841,3683,1938,1853,1823,1868
50000,2382,2664,2406,2457,2387,2413,2417,2509,2383,2417
100000,3457,3365,3357,3226,3257,3230,3232,3221,3224,3282
200000,4147,4170,4188,4168,4320,4755,4176,4172,4186,4396
300000,4861,5013,7072,5039,5054,5262,4988,5328,5276,5566
500000,7168,7078,6980,7063,7284,6963,6660,6671,6956,7156
700000,8845,8953,8445,8805,10096,8604,9056,9292,8765,8805
900000,10641,11668,10249,10608,10435,10585,10144,10746,10204,11196
1000000,10883,11792,11506,12331,11464,11643,13056,10067,9640,8014
