liczba instancji,1 pomiar,2 pomiar,3 pomiar,4 pomiar,5 pomiar,6 pomiar,7 pomiar,8 pomiar,9 pomiar,10 pomiar
10,1,0,0,0,0,0,0,0,0,0
50,5,4,3,3,2,2,2,2,2,3
100,11,9,7,7,7,9,7,7,7,7
500,76,69,66,63,63,63,62,62,61,66
1000,144,136,147,132,131,154,160,177,170,180
2000,318,305,320,321,301,301,301,301,305,301
5000,870,876,880,867,861,866,867,863,869,866
10000,1889,1874,1882,1873,1953,1898,1877,1892,1886,1907
20000,4054,4083,4043,4068,4035,4077,4040,4106,4036,4040
50000,11181,11190,11128,11176,11147,11089,11118,11118,11102,11099
100000,23860,23796,23758,24110,23783,24801,23786,24266,23982,23800
200000,52952,51665,51930,52744,52244,52196,51766,53092,51893,51877
300000,80343,80391,80036,80498,80268,83214,82919,81428,83152,82399
500000,148636,170554,148675,150596,141040,141643,141570,141029,140718,140998
700000,207535,206026,206217,208216,206294,205172,207030,206468,204918,206301
900000,275035,273620,282613,276030,273040,274249,274193,277514,276009,278468
1000000,310064,308631,323650,309883,313502,312244,315213,308425,310820,308885
