liczba instancji,1 pomiar,2 pomiar,3 pomiar,4 pomiar,5 pomiar,6 pomiar,7 pomiar,8 pomiar,9 pomiar,10 pomiar
10,0,0,0,0,0,0,0,0,0,0
50,1,1,1,1,1,1,1,1,1,1
100,7,6,6,6,6,6,6,6,6,6
500,136,147,183,179,126,114,115,113,109,114
1000,418,417,411,416,418,404,401,403,410,391
2000,1510,1506,1509,1501,1514,1517,1495,1517,1472,1490
5000,9095,9036,9212,9022,13014,9072,9047,8989,9046,9030
10000,35699,36044,36390,35559,35359,35362,35313,35409,40166,35310
20000,141483,141421,148808,145468,145310,151726,150203,142146,142213,141670
50000,888667,898420,900876,934637,894120,935996,896293,901351,897232,910660
100000,3580467,3584426,3572459,3778464,3799595,3755178,3706287,3755025,3715586,3678094
200000,14410029,14238496,14518403,14392072,14451603,14588956,14407055,14356952,14343575,14306077
300000,32166284,32207870,32573643,32158853,32366382,32524172,32218346,32429724,32412053,32585281
500000,90546051,90176139,90637568,89859260,90550780,89153889,89517667,89764568,89992127,90448157
700000,176219451,173704399,176976254,176493583,174562940,174866549,174731217,174324295,174144257,174264021
900000,286780227,286793148,286806069,286818990,286831911,286844832,286857753,286870674,286883595,286896516
1000000,354506459,354265516,354024573,353783630,353542687,353301744,353060801,352819858,352578915,352337972
