liczba instancji,1 pomiar,2 pomiar,3 pomiar,4 pomiar,5 pomiar,6 pomiar,7 pomiar,8 pomiar,9 pomiar,10 pomiar
10,0,0,0,0,0,0,0,0,0,0
50,2,1,1,1,0,0,1,1,0,0
100,6,5,2,2,2,1,2,2,2,2
500,35,27,19,17,13,14,14,15,13,13
1000,78,74,61,61,61,47,45,43,39,40
2000,160,155,145,157,132,131,135,121,144,123
5000,407,403,442,380,379,369,413,377,426,373
10000,916,980,857,820,964,868,923,858,930,905
20000,1983,1833,1729,1868,1949,1793,1927,1867,1671,1729
50000,5365,5398,5421,5243,5516,5104,5209,4475,5161,4589
100000,9356,9235,10713,10359,9251,10860,10349,10127,9294,9271
200000,23446,20771,21786,19765,21845,22117,19812,21885,20490,21351
300000,32046,31441,32406,31492,30355,30691,32482,29901,30553,31876
500000,49633,54399,55331,50110,53769,53091,54004,51072,56196,54038
700000,74921,74852,79212,77448,74403,76685,71785,81545,83060,73576
900000,105311,99148,92558,101243,89889,98527,99952,102517,102803,102758
1000000,98575,108380,104976,100836,110205,105184,112552,106492,110792,106599
