ilosc liczb,1,2,3,4,5,6,7,8,9,10
10,0,0,0,0,0,0,0,0,0,0
50,5,3,1,1,1,1,1,1,1,1
100,7,4,2,2,2,2,2,2,2,2
500,44,33,26,22,21,19,19,18,18,18
1000,95,86,81,79,77,77,75,75,78,74
2000,203,203,203,198,201,197,196,197,187,184
5000,471,465,464,463,464,465,465,461,459,458
10000,980,993,992,983,984,985,982,984,981,997
20000,2079,2071,2096,2067,2065,2085,2092,2079,2102,2071
50000,5694,5733,5851,5701,5704,5698,5685,5719,5732,5709
100000,11773,11780,11791,11752,11777,11790,11797,11820,11842,11770
200000,24451,24503,24509,24941,24491,24471,24534,24830,24765,24472
300000,38253,38325,37966,38267,38692,38882,38613,37986,38083,37952
500000,63725,63633,63690,63532,64657,63610,64583,63740,63753,63839
700000,92012,90367,90298,90266,90379,91403,90828,90523,90498,90554
900000,118941,118974,120464,117399,119779,117953,118283,118111,118931,118225
1000000,133483,131658,133771,130924,133399,133941,130780,131618,133755,141081
