liczba instancji;1 pomiar;2 pomiar;3 pomiar;4 pomiar;5 pomiar;6 pomiar;7 pomiar;8 pomiar;9 pomiar;10 pomiar;srednia
10;0;0;0;0;0;0;0;0;0;0;0
50;9;8;7;5;5;5;5;5;5;5;5.9
100;39;57;32;35;28;32;34;35;33;30;35.5
500;789;620;614;656;640;634;628;623;642;630;647.6
1000;2406;2475;2421;2396;2446;2447;2466;2377;2459;2441;2433.4
2000;9548;9390;9345;9443;9284;9506;10006;9432;9337;9499;9479
5000;59518;57362;57446;59770;57416;57650;57523;59654;59691;59934;58596.4
10000;254764;248043;253048;256403;245179;256161;243774;256070;257159;258078;252868
20000;1217641;1165565;1175310;1131024;1147505;1114595;1154043;1153189;1121683;1113706;1.14943e+06
50000;8074218;8109304;8102936;8006618;8051295;8000872;8116955;8111159;8139432;8030782;8.07436e+06
100000;32973362;32871854;33114483;32938260;33104312;33159228;32990489;33137765;33260799;32967951;3.30519e+07
200000;140127321;135137118;139087120;134700712;136829872;135809988;135224819;134052719;136731751;135238675;1.36294e+08
