liczba instancji;1 pomiar;2 pomiar;3 pomiar;4 pomiar;5 pomiar;6 pomiar;7 pomiar;8 pomiar;9 pomiar;10 pomiar;srednia
10;0;0;0;0;0;0;0;0;0;0;0
50;3;1;1;1;0;1;1;1;1;0;1
100;6;3;2;2;2;2;2;2;2;2;2.5
500;37;29;23;22;19;18;17;16;16;16;21.3
1000;91;87;84;86;82;86;89;83;73;70;83.1
2000;314;171;167;165;165;165;164;194;164;179;184.8
5000;487;495;464;472;478;460;472;478;461;486;475.3
10000;1013;1004;1002;998;997;1018;1007;996;985;994;1001.4
20000;2116;2081;2070;2095;2081;2085;2082;2079;2085;2095;2086.9
50000;5888;5791;5785;5758;5757;5753;5742;5754;5759;5768;5775.5
100000;11923;11893;11912;11869;11851;11901;11894;11869;11895;11849;11885.6
200000;24845;24914;28323;24879;24777;24784;25691;25278;25028;25067;25358.6
300000;38724;38636;39170;38474;39901;40246;38495;38434;39052;38531;38966.3
500000;65608;64463;64439;64439;64565;71922;65252;64097;65724;64115;65462.4
700000;101050;94349;98266;91113;91824;90963;93382;90837;90897;94996;93767.7
900000;120407;119013;120294;123986;121681;120701;123886;120902;123463;119584;121392
1000000;135715;143264;146691;138409;132126;134395;131763;132231;132816;134271;136168
