liczba instancji;1 pomiar;2 pomiar;3 pomiar;4 pomiar;5 pomiar;6 pomiar;7 pomiar;8 pomiar;9 pomiar;10 pomiar;srednia
10;1;0;0;0;0;1;2;0;0;0;0.4
50;5;4;3;3;3;3;3;3;3;3;3.3
100;13;11;9;8;9;9;8;9;8;8;9.2
500;119;110;80;97;106;78;77;78;77;79;90.1
1000;194;185;253;185;185;177;212;230;268;233;212.2
2000;441;434;404;420;449;416;446;465;428;417;432
5000;1354;1287;1245;1323;1260;1228;1209;1037;1066;976;1198.5
10000;2108;2292;2322;2115;2097;2786;2096;2091;2084;2097;2208.8
20000;4543;5233;4516;4525;4494;4520;4507;4506;4540;4505;4588.9
50000;12468;12648;12703;13002;12740;12395;12625;12931;12530;13169;12721.1
100000;27116;26888;27601;27332;28873;27517;28015;28238;29799;27446;27882.5
200000;58478;58521;58016;57656;57754;57798;57617;58607;58237;57514;58019.8
300000;91066;91313;90187;90325;90777;92843;91446;90936;90315;91467;91067.5
500000;168022;165946;164688;170172;165080;169282;163769;171229;165109;167862;167116
700000;253174;253659;264100;258536;255238;254544;260071;252880;254101;255359;256166
900000;348592;356058;348892;350982;350117;350386;350082;351861;351246;349661;350788
1000000;403458;406411;403735;402046;407733;400391;400820;402661;397024;403026;402730
