liczba instancji;1 pomiar;2 pomiar;3 pomiar;4 pomiar;5 pomiar;6 pomiar;7 pomiar;8 pomiar;9 pomiar;10 pomiar;srednia
10;908;815;784;779;794;840;868;883;920;768;835.9
50;1199;1108;1007;967;952;1019;900;930;943;918;994.3
100;1054;1005;1085;993;1119;1083;1050;1106;1097;1112;1070.4
500;1137;1231;1081;1222;1048;1121;1095;1047;1093;1132;1120.7
1000;1046;1102;1021;1040;1169;1046;1025;1099;1075;1133;1075.6
2000;1103;1126;1155;1065;1057;1172;1126;1099;1141;1047;1109.1
5000;1134;1119;1229;1299;1371;2297;1211;1221;1132;1099;1311.2
10000;1237;1208;1345;1333;1280;1222;1171;1327;1171;1236;1253
20000;1689;1416;1440;1415;1463;1384;1438;1382;1410;1910;1494.7
50000;2029;1924;2166;1975;2021;1996;1982;2076;1966;2017;2015.2
100000;2985;2822;2822;2787;2847;2789;2819;2894;3639;2900;2930.4
200000;4024;4013;4048;4584;4058;4055;4093;4018;4013;4241;4114.7
300000;5102;5122;5300;5186;5261;5375;5196;5238;5205;5225;5221
500000;7484;7711;7550;7386;7535;7438;7389;7395;7384;7428;7470
700000;9628;9637;9650;9573;9569;9596;9868;10689;10961;9502;9867.3
900000;11813;11777;11787;11871;12982;12685;11858;11700;11718;11765;11995.6
1000000;13015;13424;13025;13009;12837;13445;12922;12901;13099;12983;13066
